job_id,company_name,job_title,salary_raw,disclosure_status,pay_period,rmb_min,rmb_max,salary_months,parse_note
JOB_0205,宇信科技,中级软件工程师(J11919),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0208,宇信科技,中级软件工程师(J11919),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0209,宇信科技,信贷业务专家(J11646),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0210,宇信科技,信贷部门-技术岗(J11782),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0211,宇信科技,监管报送产品经理(J11557),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0212,宇信科技,高级业务分析师(J11985),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0213,宇信科技,中级系统工程师(J11841),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0214,宇信科技,高级UED设计师(J11847),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0215,宇信科技,中级软件工程师(J11969),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0216,宇信科技,东部数据一部服务类(J11846),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0217,宇信科技,高级软件工程师(J11802),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0218,宇信科技,中级测试工程师(J11889),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0219,宇信科技,中级软件工程师(J11963),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0220,宇信科技,初级系统工程师(J11995),面议,not_disclosed,unknown,,,,No numeric salary disclosed in source.
JOB_0221,宇信科技,【校招-高潜人才】大模型应用开发工程师(J12429),15-25K/月（硕士）、10-20K/月（本科）,numeric_disclosed,month,15000.0,25000.0,,
JOB_0222,宇信科技,【校招-高潜人才】业务分析师(J12428),12-20K/月,numeric_disclosed,month,12000.0,20000.0,,
JOB_0223,宇信科技,【校招】销售管培生(J12452),10-18K/月+业绩提成,numeric_disclosed,month,10000.0,18000.0,,
JOB_0224,宇信科技,【校招】JAVA开发工程师(J12462),10-20K/月,numeric_disclosed,month,10000.0,20000.0,,
JOB_0225,宇信科技,【校招】大数据开发工程师(J12463),12-22K/月,numeric_disclosed,month,12000.0,22000.0,,
JOB_0226,宇信科技,【校招】业务分析师(J12465),10-18K/月,numeric_disclosed,month,10000.0,18000.0,,
