company_code,company_name,report_year,metric,value_yuan,source_page,source_excerpt,page_metric_coverage,extraction_method,unit_multiplier,verification_status
002230.SZ,科大讯飞,2025,revenue_yuan,27105390547.66,7,"27,105,390,547.66",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
002230.SZ,科大讯飞,2025,net_profit_attributable_yuan,839390861.36,7,"839,390,861.36",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
002230.SZ,科大讯飞,2025,total_assets_yuan,44857109349.34,7,"总资产（元）44,857,109,349.3441,478,899,803.208.14%37,831,122,978.15归属于上市公司股东的净资产18,794,462,168.6917,793,386,034.675.63%17,032,284,511.72（元）公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是☑否公司报告期内经审计利润总额、净利润、扣除非经常性损益",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300229.SZ,拓尔思,2025,revenue_yuan,511344793.45,10,"营业收入（元）511,344,793.45777,034,453.08-34.19%781,678,373.42归属于上市公司股东的净利润（元）-293,749,397.56-94,145,629.80-212.02%36,465,973.39归属于上市公司股东的扣除非经常性-335,753,340.94-170,533,242.93-96.88%2,428,630.97损益的净利润（元）经营活动产生的现金流量净额（元）197,978,",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300229.SZ,拓尔思,2025,net_profit_attributable_yuan,-293749397.56,10,"归属于上市公司股东的净利润（元）-293,749,397.56-94,145,629.80-212.02%36,465,973.39归属于上市公司股东的扣除非经常性-335,753,340.94-170,533,242.93-96.88%2,428,630.97损益的净利润（元）经营活动产生的现金流量净额（元）197,978,468.3369,459,171.56185.03%45,940,871.74基本每股收益（元/股）-0.336",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300229.SZ,拓尔思,2025,total_assets_yuan,4207791883.05,10,"资产总额（元）4,207,791,883.054,481,824,962.63-6.11%3,746,005,629.18归属于上市公司股东的净资产（元）3,846,553,812.814,125,239,803.11-6.76%3,352,105,013.12公司最近三个会计年度扣除非经常性损益前后净利润孰低者均为负值，且最近一年审计报告显示公司持续经营能力存在不确定性□是否公司报告期内经审计利润总额、净利润、扣除非经常性损益后的净",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300033.SZ,同花顺,2025,revenue_yuan,6028985966.48,7,"6,028,985,966.48",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300033.SZ,同花顺,2025,net_profit_attributable_yuan,3205082002.69,7,"归属于上市公司股东的3,205,082,002.691,823,266,690.0375.79%1,402,468,555.23净利润（元）归属于上市公司股东的扣除非经常性损益的净3,051,009,895.431,764,896,337.9272.87%1,368,922,316.80利润（元）经营活动产生的现金流3,774,236,497.702,315,506,812.2763.00%1,591,901,414.82量净额（元）基",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
300033.SZ,同花顺,2025,total_assets_yuan,15832994333.52,7,"15,832,994,333.52",3,table_cell,1,machine_extracted_source_table_requires_manual_audit
300059.SZ,东方财富,2025,revenue_yuan,16067741039.51,7,"营业总收入（元）16,067,741,039.5111,604,343,090.1638.46%11,081,439,282.37归属于上市公司股东的净利润（元）12,084,594,947.229,610,120,743.6425.75%8,193,469,277.99归属于上市公司股东的扣除非经常性11,653,886,754.899,253,228,906.8125.94%7,861,598,966.25损益的净利润（元）经营活动",3,text_fallback,1,machine_extracted_source_table_requires_manual_audit
