source_id,company_code,source_type,title,url,publication_date,access_date,local_path,sha256,status,notes
AR_300674_2025,300674,annual_report,北京宇信科技集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-30/1225050258.pdf,2026-03-30,2026-08-11,data/raw/annual_reports/300674_2025.pdf,c8cf9c6d8b6969ca6a0dd363abe352bd23ce205eca51901f410b69a89d3d3857,downloaded,巨潮资讯网静态公告链接；下载后由脚本写入SHA-256。
AR_002987_2025,002987,annual_report,京北方信息技术股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-04-18/1225117058.PDF,2026-04-18,2026-08-11,data/raw/annual_reports/002987_2025.pdf,746e3a456f56414ac1a5abdb539db13f5d048017265224e96b2188cffb0ea048,downloaded,巨潮资讯网静态公告链接；下载后由脚本写入SHA-256。
AR_300465_2025,300465,annual_report,高伟达软件股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-27/1225034599.PDF,2026-03-27,2026-08-11,data/raw/annual_reports/300465_2025.pdf,bc7840798fd61f7f520c2b8feaab0864e7ea9eb26a96ac27add6dbeeb7e2cbc9,downloaded,巨潮资讯网静态公告链接；已用于初步纳入复核。
AR_300377_2025,300377,annual_report,深圳市赢时胜信息技术股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-04-21/1225129499.PDF,2026-04-21,2026-08-11,data/raw/annual_reports/300377_2025.pdf,069e74c98f543502e40fbfd95b9c6a515e222a8907c6bbcda95af327fdce19cc,downloaded,巨潮资讯网静态公告链接；已用于初步纳入复核。
